alias,true_ent_num,matched_ent_num,matched_name,score,correct,alerted_on_sanctioned
AERO-CARIBBEAN,36,173,"ANGLO-CARIBBEAN CO., LTD.",82.75862068965517,False,True
AVIA IMPORT,173,50948,EK IMPORT,70.0,False,True
NATIONAL BANK OF CUBA,306,306,BANCO NACIONAL DE CUBA,86.48648648648648,True,False
COIBA,540,,,0.0,False,False
CRYMSA,552,589,"CRYMSA - ARGENTINA, S.A.",54.54545454545454,False,True
COPROVA,555,,,0.0,False,False
COPROVA SARL,555,,,0.0,False,False
CIMEX,559,8125,CIMEX CUBA,66.66666666666667,True,False
DELVEST HOLDING COMPANY,651,12464,ELLISSA SAL (HOLDING),73.33333333333334,False,True
CUBANA AIRLINES,735,58518,TABAN AIRLINES,82.75862068965517,False,True
CARIBBEAN EXPORT ENTERPRISE,751,1287,CUBAN FREIGHT ENTERPRISE,70.58823529411764,False,True
CUBATUR,758,621,CUBANATUR,87.5,False,True
GALAX INC.,815,55099,GALAXY OIL FZE,66.66666666666667,False,True
"HAVANA INTERNATIONAL BANK, LTD",906,19508,ILSIM INTERNATIONAL BANK,77.55102040816327,False,True
CUFLET,1287,,,0.0,False,False
CUBAN FREIGHT ENTERPRISE,1287,751,CARIBBEAN EXPORT ENTERPRISE,70.58823529411764,False,True
"TROVER, S.A.",2109,,,0.0,False,False
TROPICANA TOURS GMBH,2110,2110,TROPIC TOURS GMBH,88.88888888888889,True,False
GENERAL NICKEL SA,3749,3751,MOA NICKEL SA,66.66666666666667,False,True
CENTRAL BANK OF THE ISLAMIC REPUBLIC OF IRAN,4632,45612,ISLAMIC REPUBLIC OF IRAN AIR FORCE,80.0,False,True
BANK MARKAZI IRAN,4632,10368,BANK SADERAT IRAN,76.47058823529412,False,True
CENTRAL BANK OF IRAN,4632,22486,CENTRAL REPUBLIC BANK,73.6842105263158,False,True
HOUSING BANK - OF IRAN,4633,25419,MIR BUSINESS BANK ZAO,70.58823529411764,False,True
WORKERS' WELFARE BANK - OF IRAN,4635,4702,KURDISTAN WORKERS' PARTY,62.5,False,True
BANK REFAH,4635,25580,BANK SEPAH,80.0,False,True
AGRICULTURAL BANK OF IRAN,4639,22983,AGRICULTURAL DEVELOPMENT BANK,74.50980392156863,False,True
BANK KESHAVARZI,4639,4639,BANK KESHAVARZI IRAN,85.71428571428572,True,False
IRAN OVERSEAS INVESTMENT BANK PLC,4642,4642,IRAN OVERSEAS INVESTMENT CORPORATION LIMITED,90.56603773584906,True,False
IRAN OVERSEAS INVESTMENT CORPORATION LIMITED,4642,4642,IRAN OVERSEAS INVESTMENT BANK PLC,90.56603773584906,True,False
IRAN OVERSEAS INVESTMENT BANK LIMITED,4642,4642,IRAN OVERSEAS INVESTMENT CORPORATION LIMITED,90.56603773584906,True,False
AL HARAKAT AL ISLAMIYYA,4688,17299,HARAKAT SHAM AL-ISLAM,80.0,False,True
GROUPEMENT ISLAMIQUE ARME,4690,4690,ARMED ISLAMIC GROUP,77.27272727272727,True,False
AL-JAMA'AH AL-ISLAMIYAH AL-MUSALLAH,4690,10408,JAMI'AT AL-SALAH AL-ISLAMI,78.26086956521739,False,True
AUM SUPREME TRUTH,4691,33676,"MERCHANT SUPREME CO., LTD.",54.54545454545454,False,True
A.I.C. SOGO KENKYUSHO,4691,,,0.0,False,False
A.I.C. COMPREHENSIVE RESEARCH INSTITUTE,4691,50050,ANO AI RESEARCH INSTITUTE,75.40983606557377,False,True
ALEPH,4691,,,0.0,False,False
BASQUE FATHERLAND AND LIBERTY,4693,26446,GOLAN LIBERATION BRIGADE,57.14285714285714,False,True
BATASUNA,4693,4693,HERRI BATASUNA,72.72727272727273,True,False
EUSKAL HERRITARROK,4693,4693,HERRI BATASUNA,50.0,True,False
HERRI BATASUNA,4693,4693,BATASUNA,72.72727272727273,True,False
ASKATASUNA,4693,4693,EUZKADI TA ASKATASUNA,64.51612903225806,True,False
EKIN,4693,,,0.0,False,False
XAKI,4693,,,0.0,False,False
JARRAI-HAIKA-SEGI,4693,45402,"SHANGHAI JARRED INDUSTRIAL CO., LTD.",51.162790697674424,False,True
EPANASTATIKI PIRINES,4693,4714,EPANASTATIKOS LAIKOS AGONAS,59.57446808510638,True,False
POPULAR REVOLUTIONARY STRUGGLE,4693,4714,REVOLUTIONARY POPULAR STRUGGLE,100.0,True,False
ISLAMIC GROUP,4694,4690,ARMED ISLAMIC GROUP,81.25,False,True
AL-GAMA'AT,4694,4694,ISLAMIC GAMA'AT,63.63636363636363,True,False
ISLAMIC GAMA'AT,4694,4694,GAMA'A AL-ISLAMIYYA,83.87096774193549,True,False
EGYPTIAN AL-GAMA'AT AL-ISLAMIYYA,4694,4694,GAMA'A AL-ISLAMIYYA,76.19047619047619,True,False
ISLAMIC RESISTANCE MOVEMENT,4695,6725,ISLAMIC MOVEMENT OF UZBEKISTAN,85.18518518518519,False,True
HARAKAT AL-MUQAWAMA AL-ISLAMIYA,4695,30650,AL-MUQAWAMA AL-ISLAMIYYA AL-BAHRANIA,84.61538461538461,False,True
STUDENTS OF AYYASH,4695,4695,YAHYA AYYASH UNITS,66.66666666666667,True,False
STUDENTS OF THE ENGINEER,4695,35076,SERNIA ENGINEERING,68.57142857142857,False,True
YAHYA AYYASH UNITS,4695,4695,STUDENTS OF AYYASH,66.66666666666667,True,False
IZZ AL-DIN AL-QASSIM BRIGADES,4695,4695,IZZ AL-DIN AL QASSAM BRIGADES,95.65217391304348,True,False
IZZ AL-DIN AL-QASSIM FORCES,4695,4695,IZZ AL-DIN AL QASSAM FORCES,95.23809523809523,True,False
IZZ AL-DIN AL-QASSIM BATTALIONS,4695,4695,IZZ AL-DIN AL QASSAM BATTALIONS,96.0,True,False
IZZ AL-DIN AL QASSAM BRIGADES,4695,4695,IZZ AL-DIN AL-QASSIM BRIGADES,95.65217391304348,True,False
IZZ AL-DIN AL QASSAM FORCES,4695,4695,IZZ AL-DIN AL-QASSIM FORCES,95.23809523809523,True,False
IZZ AL-DIN AL QASSAM BATTALIONS,4695,4695,IZZ AL-DIN AL-QASSIM BATTALIONS,96.0,True,False
HARAKAT UL-ANSAR,4696,4696,JAMIAT UL-ANSAR,77.41935483870968,True,False
HARAKAT UL-MUJAHIDIN,4696,4696,HARAKAT UL-MUJAHIDEEN,92.6829268292683,True,False
AL-FARAN,4696,41483,"FARAZAN CO., LTD.",83.33333333333334,False,True
AL-HADID,4696,4696,AL-HADITH,72.72727272727273,True,False
AL-HADITH,4696,4696,AL-HADID,72.72727272727273,True,False
JAMIAT UL-ANSAR,4696,4696,HARAKAT UL-ANSAR,77.41935483870968,True,False
ANSAR-UL-UMMAH,4696,47664,ANSARULLAH,75.0,False,True
PARTY OF GOD,4697,47199,HD PARTS OY,70.58823529411764,False,True
ISLAMIC JIHAD,4697,9334,ISLAMIC JIHAD GROUP,81.25,False,True
ISLAMIC JIHAD ORGANIZATION,4697,9333,AL-BIR AND AL-IHSAN ORGANIZATION,75.0,False,True
REVOLUTIONARY JUSTICE ORGANIZATION,4697,10391,THE IRANIAN REVOLUTIONARY GUARDS,74.19354838709677,False,True
ORGANIZATION OF THE OPPRESSED ON EARTH,4697,12727,MOBILIZATION OF THE OPPRESSED ORGANIZATION,81.81818181818181,False,True
ISLAMIC JIHAD FOR THE LIBERATION OF PALESTINE,4697,4707,ISLAMIC JIHAD OF PALESTINE,80.70175438596492,False,True
ORGANIZATION OF RIGHT AGAINST WRONG,4697,23632,A-SABRIN ORGANIZATION,67.9245283018868,False,True
ANSAR ALLAH,4697,49580,ANSAR ALAH ALOFIA,71.42857142857143,False,True
FOLLOWERS OF THE PROPHET MUHAMMED,4697,40814,AFORRA PROPERTI OOO,53.65853658536586,False,True
LEBANESE HIZBALLAH,4697,4697,LEBANESE HEZBOLLAH,88.88888888888889,True,False
LEBANESE HEZBOLLAH,4697,4697,LEBANESE HIZBALLAH,88.88888888888889,True,False
HIZBALLAH ESO,4697,4697,HIZBALLAH,81.81818181818181,True,False
HIZBALLAH INTERNATIONAL,4697,48297,HASSALEH INTERNATIONAL COMPANY,80.0,False,True
EXTERNAL SECURITY ORGANIZATION OF HEZBOLLAH,4697,44140,LIMITED LIABILITY COMPANY PRIVATE SECURITY ORGANIZATION LEGAT,70.12987012987013,False,True
REPRESSION OF TRAITORS,4700,11413,REPRESENTACIONES ORIENTE S.R.L.,55.81395348837209,False,True
DIKUY BOGDIM,4700,,,0.0,False,False
DOV,4700,,,0.0,False,False
STATE OF JUDEA,4700,4700,THE VOICE OF JUDEA,63.63636363636363,True,False
COMMITTEE FOR THE SAFETY OF THE ROADS,4700,10923,RIHS COMMITTEE FOR WOMEN,66.66666666666667,False,True
SWORD OF DAVID,4700,23419,ADJ SWORDFISH LIMITED,66.66666666666667,False,True
JUDEA POLICE,4700,4700,THE VOICE OF JUDEA,86.95652173913044,True,False
KAHANE LIVES,4700,4700,KAHANE,66.66666666666667,True,False
KFAR TAPUAH FUND,4700,10412,SHAHID FUND,51.85185185185186,False,True
THE JUDEAN VOICE,4700,4700,THE VOICE OF JUDEA,95.65217391304348,True,False
FOREFRONT OF THE IDEA,4700,23145,FORENT TECHNIK GMBH,57.14285714285714,False,True
THE QOMEMIYUT MOVEMENT,4700,10761,MUJAHIDIN YOUTH MOVEMENT,66.66666666666667,False,True
THE JUDEAN LEGION,4700,4700,JEWISH LEGION,69.23076923076923,True,False
THE WAY OF THE TORAH,4700,7149,JAMITO AHIA TORAS AL-ISLAMI,24.242424242424242,False,True
THE YESHIVA OF THE JEWISH IDEA,4700,4700,THE JEWISH IDEA YESHIVA,100.0,True,False
KOACH,4700,,,0.0,False,False
KACH,4700,56789,KACHOUI PRISON,44.44444444444444,False,True
NEW KACH MOVEMENT,4700,15585,MARCH 23 MOVEMENT,70.58823529411764,False,True
NEWKACH.ORG,4700,,,0.0,False,False
KAHANE,4700,4700,KAHANE.ORG,75.0,True,False
YESHIVAT HARAV MEIR,4700,4700,AMERICAN FRIENDS OF YESHIVAT RAV MEIR,64.15094339622642,True,False
THE INTERNATIONAL KAHANE MOVEMENT,4700,23652,"KINGS ROMAN INTERNATIONAL COMPANY, LIMITED",74.07407407407408,False,True
KAHANE.ORG,4700,4700,KAHANE,75.0,True,False
JEWISH IDEA YESHIVA,4700,4700,THE YESHIVA OF THE JEWISH IDEA,100.0,True,False
KAHANETZADAK.COM,4700,4700,KAHANE TZADAK,82.75862068965517,True,False
KAHANE TZADAK,4700,4700,KAHANETZADAK.COM,82.75862068965517,True,False
THE HATIKVA JEWISH IDENTITY CENTER,4700,37685,CENTER FOR SCIENTIFIC AND TECHNICAL SERVICES DINAMIKA,58.666666666666664,False,True
THE RABBI MEIR DAVID KAHANE MEMORIAL FUND,4700,27445,NATIONAL DEVELOPMENT FUND OF ISLAMIC REPUBLIC OF IRAN,50.0,False,True
THE JEWISH IDEA YESHIVA,4700,4700,THE YESHIVA OF THE JEWISH IDEA,100.0,True,False
FRIENDS OF THE JEWISH IDEA YESHIVA,4700,4700,THE JEWISH IDEA YESHIVA,82.6086956521739,True,False
JUDEAN CONGRESS,4700,4702,KURDISTAN PEOPLE'S CONGRESS,61.904761904761905,False,True
JEWISH LEGION,4700,4700,THE JUDEAN LEGION,69.23076923076923,True,False
THE VOICE OF JUDEA,4700,4700,THE JUDEAN VOICE,95.65217391304348,True,False
NO'AR MEIR,4700,4700,YESHIVAT HARAV MEIR,55.172413793103445,True,False
MEIR'S YOUTH,4700,17759,EURASIAN YOUTH UNION,56.25,False,True
AMERICAN FRIENDS OF YESHIVAT RAV MEIR,4700,4700,AMERICAN FRIENDS OF THE UNITED YESHIVA,80.0,True,False
AMERICAN FRIENDS OF THE UNITED YESHIVA,4700,4700,AMERICAN FRIENDS OF YESHIVAT RAV MEIR,80.0,True,False
THE COMMITTEE AGAINST RACISM AND DISCRIMINATION,4700,52163,NATIONAL COMMITTEE FOR PRISONERS AFFAIRS,66.66666666666667,False,True
PKK,4702,,,0.0,False,False
PARTIYA KARKERAN KURDISTAN,4702,11351,PARTIYA JIYANA AZAD A KURDISTANE,72.41379310344827,False,True
THE PEOPLE'S DEFENSE FORCE,4702,15588,SYRIAN NATIONAL DEFENSE FORCE,70.58823529411764,False,True
HALU MESRU SAVUNMA KUVVETI,4702,44623,HAMZA TUMENI OZEL KUVVETLER,52.83018867924528,False,True
FREEDOM AND DEMOCRACY CONGRESS OF KURDISTAN,4702,4702,KURDISTAN FREEDOM AND DEMOCRACY CONGRESS,100.0,True,False
KADEK,4702,,,0.0,False,False
KURDISTAN FREEDOM AND DEMOCRACY CONGRESS,4702,4702,FREEDOM AND DEMOCRACY CONGRESS OF KURDISTAN,100.0,True,False
KURDISTAN PEOPLE'S CONGRESS,4702,4702,PEOPLE'S CONGRESS OF KURDISTAN,100.0,True,False
PEOPLE'S CONGRESS OF KURDISTAN,4702,4702,KURDISTAN PEOPLE'S CONGRESS,100.0,True,False
KONGRA-GEL,4702,43249,TRAST KONG OOO,60.0,False,True
KGK,4702,,,0.0,False,False
LTTE,4703,,,0.0,False,False
TAMIL TIGERS,4703,4703,LIBERATION TIGERS OF TAMIL EELAM,58.53658536585367,True,False
ELLALAN FORCE,4703,29859,ELLA MEDIA SERVICES LLC,56.25,False,True
ELN,4706,,,0.0,False,False
EJERCITO DE LIBERACION NACIONAL,4706,4715,EJERCITO POPULAR DE LIBERACION,80.0,False,True
PIJ-SHAQAQI FACTION,4707,4707,PIJ-SHALLAH FACTION,84.21052631578947,True,False
PIJ,4707,,,0.0,False,False
