name,identifier,top_match,top_ent_num,score
RE Jönköping Björneberg 5:2 & 5:5 AB,657400LV8Z29X9CYTN76,,,0.0
RAHUL KHURANA,648800LR1BL5Q14FBI04,ISLAMIC STATE KHURASAN,18647,45.714285714285715
DBU København,648800G6DO0J8MELGY60,,,0.0
BARPETA CRITICAL HEALTHCARE AND RESEARCH CENTRE PRIVATE LIMITED,648800L0C1YKYQ4HUU10,"AGRICULTURAL, MEDICAL, AND INDUSTRIAL RESEARCH CENTER",25663,64.44444444444444
AADIRAAJ VENTURES PRIVATE LIMITED,648800U1S5SMAABPV589,BARKAT VENTURES,30876,75.0
BIRADAR FOODS PRIVATE LIMITED,6488004AWOHTAJMPO150,ASASI FOODS FZC,26998,66.66666666666667
"""ФИНБОР БЪЛГАРИЯ"" ЕООД",6488005BIFQ1DAWUHB46,,,0.0
MVH Ventures UG (haftungsbeschränkt),391200IFALQSXDNUD869,CUBE VENTURES SHIPPING SA,51721,57.14285714285714
KJAER CORPORATION ApS,648800XN0IWKC6OTBK31,,,0.0
Deurklinkenshop,6488001V1CEF4GURB564,,,0.0
WS ARCHITECTUUR,648800R1PSCP4KFETS11,ARCHITECTONIC CORP LIMITED,57527,64.28571428571428
Böllhoff Grundbesitz GmbH & Co. KG,391200PMT52R201LG927,GRUN GROUP CO LIMITED,50135,40.0
HDR Invest,648800MP1FJZHD638Y52,LLC A INVEST,46053,77.77777777777779
G-FORCE GROUP,648800MMOFYZBMRFZY38,ARC LIMITED GROUP,33948,72.72727272727273
Conation Capital Management ApS,648800MKT1XAFK2P8Z91,CAPITAL TAP MANAGEMENT AND CONSULTANCIES L.L.C.,48961,76.19047619047619
Windkraft Datteln GmbH & Co. KG,391200HQ5ZFXX8CM5S30,WINDFEL PROPERTIES LIMITED,41502,45.714285714285715
TTH HOLDING AS,636700KBQMJ0XCC1YV74,T1 HOLDING,47691,85.71428571428572
K&P TRANSPORT AS,6367001PZNTYWXGPDZ31,"PLM TRANSPORTE, C.A.",23898,80.0
SOKSE AS,636700F89VUUTB3FOW19,,,0.0
Foreningen af Veterinærvidenskabelige Medarbejdere,6367004HG1ULS4QEKP84,MES CARGO TRANSPORTATION TOURISM AND FOREIGN TRADE LIMITED COMPANY,58500,47.916666666666664
Ulrik Volsgaard Holding ApS,63670059BQOJOEGJZT87,"I AND S HOLDING COMPANY, S.A.",13356,64.70588235294117
MOLTKE CAPITAL AS,636700DPR5BWQZWOBU92,OOO OTKRITIE CAPITAL,34508,80.0
